,mass flow (kg/s),mole flow (kmol/s),mole percent CH4 (%),mole percent CO2 (%),mole percent H2O (%),mole percent N2 (%),mole percent O2 (%),pressure (bar),temperature (K),volumetric flow (m**3/s)
air01,91.43162149167816,3.1914794352125764,,0.03,1.9,77.48,20.59,1.0130000000000001,298.15,78.04650282262321
air02,91.43162149167816,3.1914794352125764,,0.03,1.9,77.48,20.59,10.13,613.2177151537875,16.111160670844527
air03a,91.43162149167816,3.1914794352125764,,0.03,1.9,77.48,20.59,9.623500000000002,850.0,23.502553482882345
air03b,91.43162149167814,3.1914794352125764,2.2936593420462388e-17,0.03,1.8999999999999997,77.47999999999998,20.59,9.623500000000002,850.0,23.502553482882345
fuel01,1.5933024756958654,0.09931759237624219,100.0,9.999999999999999e-19,9.999999999999999e-19,9.999999999999999e-19,9.999999999999999e-19,12.000000000000002,850.0,0.5864847769701609
g01,93.02492396737402,3.2907970275888183,3.018040661383866,0.02909458780158484,1.8426572274337063,75.14162209555978,19.968585427821065,9.623500000000002,849.9930745022734,24.2335518712924
g02a,93.0251244697295,3.2907970275888183,0.060360813227677376,2.9867744359577735,7.758016923746084,75.1416220955598,14.053225731508684,9.142325,1520.0,45.56590136402263
g02b,92.99325842021561,3.2888106757412943,,2.9885783661635354,7.762702554136205,75.18700558357156,14.061713496128696,9.142325,1520.0,45.538391796249016
g03,92.9932584202156,3.288810675741294,,2.9885783661635354,7.762702554136205,75.18700558357156,14.061713496128696,1.099294628323386,1010.6088038450335,251.45576357058422
g04,92.9932584202156,3.288810675741294,,2.9885783661635354,7.762702554136205,75.18700558357156,14.061713496128696,1.0663157894736843,794.627963145716,203.8332099638971
g05,92.9932584202156,3.288810675741294,,2.988578366163536,7.762702554136205,75.18700558357156,14.061713496128695,1.0130000000000001,430.85657395786524,116.29349060229153
liq01,13.999990677013392,0.7771180910000002,,,100.0,,,20.0,298.15000000000066,0.014029417945898818
liq02,13.999990677013392,0.7771180910000002,,,100.0,,,20.0,485.5272254246645,1.3941898251714295
