,mass flow (kg/s),mole flow (kmol/s),mole percent CH4 (%),mole percent CO2 (%),mole percent H2O (%),mole percent N2 (%),mole percent O2 (%),pressure (bar),temperature (K),volumetric flow (m**3/s)
air01,91.17976783321305,3.18268832160701,,0.03,1.9,77.48,20.59,1.0130000000000001,298.15,77.83151924313944
air02,91.17976783321305,3.18268832160701,,0.03,1.9,77.48,20.59,10.13,613.2177151537887,16.066781552429376
air03a,91.17976783321305,3.18268832160701,,0.03,1.9,77.48,20.59,9.623500000000002,850.0,23.43781434798168
air03b,91.17976783321303,3.1826883216070097,9.516944557994098e-17,0.03,1.9,77.48,20.590000000000003,9.623500000000002,850.0,23.43781434798168
fuel01,1.6152834443139574,0.10068776339809614,100.0,9.999999999999999e-19,9.999999999999999e-19,9.999999999999999e-19,9.999999999999999e-19,12.000000000000002,298.15,0.20257901516393392
g01,92.79505127752698,3.2833760850051052,3.0665924582300628,0.02908002226253098,1.841734743293629,75.10400416336336,19.958588612850434,9.623500000000002,824.1677420436336,23.445086468026158
g02a,92.7952586943196,3.2833760850051057,1.5773934587714252e-15,3.095672480492593,7.974919659753751,75.10400416336336,13.825403696390303,9.142325,1520.0,45.463121873898096
g02b,92.79525869431957,3.2833760850051057,,3.0956724804925924,7.974919659753751,75.10400416336334,13.825403696390302,9.142325,1520.0,45.463121873898096
g03,92.79525869431957,3.2833760850051057,,3.0956724804925924,7.974919659753751,75.10400416336334,13.825403696390302,1.099294628323386,1011.0888818655226,251.15936719828724
g04,92.79525869431957,3.2833760850051057,,3.0956724804925924,7.974919659753751,75.10400416336334,13.825403696390302,1.0663157894736843,795.5960652170287,203.74406777187346
g05,92.79525869431957,3.2833760850051057,,3.0956724804925924,7.974919659753751,75.10400416336334,13.825403696390302,1.0130000000000001,431.61908143371545,116.30621883950229
liq01,13.999990677013392,0.7771180910000002,,,100.0,,,20.0,298.15000000000066,0.014029417945898818
liq02,13.999990677013392,0.7771180910000002,,,100.0,,,20.0,485.5272254246645,1.3941898251714295
